,common_name,scientific_name,taxon_rank,gbif_key,taxon_class,file
1,Fluffy-backed Tit-Babbler,Macronus ptilosus,SPECIES,6100830,Aves,1_fluffy-backed_tit-babbler.jpg
2,Blue-eared Barbet,Psilopogon duvaucelii,SPECIES,7885381,Aves,2_blue-eared_barbet.jpg
3,Chestnut-winged Babbler,Stachyris erythroptera,SPECIES,2493420,Aves,3_chestnut-winged_babbler.jpg
5,Greater Coucal,Centropus sinensis,SPECIES,5232005,Aves,5_greater_coucal.jpg
6,Bold-striped Tit-Babbler,Macronus bornensis,SPECIES,6100833,Aves,6_bold-striped_tit-babbler.jpg
8,Little Spiderhunter,Arachnothera longirostra,SPECIES,2484653,Aves,8_little_spiderhunter.jpg
9,Yellow-bellied Bulbul,Alophoixus phaeocephalus,SPECIES,2486196,Aves,9_yellow-bellied_bulbul.jpg
10,Maroon Woodpecker,Blythipicus rubiginosus,SPECIES,2478225,Aves,10_maroon_woodpecker.jpg
11,Great Argus,Argusianus argus,SPECIES,5227762,Aves,11_great_argus.jpg
12,Black-and-yellow Broadbill,Eurylaimus ochromalus,SPECIES,2484548,Aves,12_black-and-yellow_broadbill.jpg
13,Smith's Giant Gecko,Gekko smithi,SPECIES,2447321,Reptilia,13_smiths_giant_gecko.jpg
14,Rufous Piculet,Sasia abnormis,SPECIES,2478207,Aves,14_rufous_piculet.jpg
17,Spectacled Bulbul,Pycnonotus erythropthalmos,SPECIES,2486125,Aves,17_spectacled_bulbul.jpg
19,Rhinoceros Hornbill,Buceros rhinoceros,SPECIES,2476004,Aves,19_rhinoceros_hornbill.jpg
20,Buff-vented Bulbul,Iole crypta,SPECIES,9577865,Aves,20_buff-vented_bulbul.jpg
24,Sooty-capped Babbler,Malacopteron affine,SPECIES,2493506,Aves,
26,Black-naped Monarch,Hypothymis azurea,SPECIES,2486625,Aves,26_black-naped_monarch.jpg
28,Malaysian Pied Fantail,Rhipidura javanica,SPECIES,5231747,Aves,28_malaysian_pied_fantail.jpg
30,Maroon-breasted Philentoma,Philentoma velata,SPECIES,7340857,Aves,30_maroon-breasted_philentoma.jpg
36,Dark-necked Tailorbird,Orthotomus atrogularis,SPECIES,2493033,Aves,36_dark-necked_tailorbird.jpg
41,Black-headed Bulbul,Pycnonotus atriceps,SPECIES,2486134,Aves,41_black-headed_bulbul.jpg
47,Crested Serpent Eagle,Spilornis cheela,SPECIES,2480433,Aves,47_crested_serpent_eagle.jpg
50,Van Hasselt's Sunbird,Leptocoma brasiliana,SPECIES,7340843,Aves,50_van_hasselts_sunbird.jpg
54,Red-bearded Bee-eater,Nyctyornis amictus,SPECIES,2475461,Aves,54_red-bearded_bee-eater.jpg
72,Yellow-rumped Flowerpecker,Prionochilus xanthopygius,SPECIES,5229961,Aves,72_yellow-rumped_flowerpecker.jpg
85,Ashy Tailorbird,Orthotomus ruficeps,SPECIES,2493031,Aves,85_ashy_tailorbird.jpg
100,Banded Bay Cuckoo,Cacomantis sonneratii,SPECIES,2496280,Aves,100_banded_bay_cuckoo.jpg
101,Dark-throated Oriole,Oriolus xanthonotus,SPECIES,2488971,Aves,101_dark-throated_oriole.jpg
103,Green Iora,Aegithina viridissima,SPECIES,2484095,Aves,103_green_iora.jpg
104,Short-tailed Babbler,Malacocincla malaccensis,SPECIES,2493400,Aves,104_short-tailed_babbler.jpg
106,Rufous-fronted Babbler,Stachyridopsis rufifrons,SPECIES,7340311,Aves,106_rufous-fronted_babbler.jpg
111,Cream-vented Bulbul,Pycnonotus simplex,SPECIES,2486137,Aves,111_cream-vented_bulbul.jpg
112,Lesser Green Leafbird,Chloropsis cyanopogon,SPECIES,5230729,Aves,112_lesser_green_leafbird.jpg
157,Slender-billed Crow,Corvus enca,SPECIES,2482470,Aves,157_slender-billed_crow.jpg
158,Lesser Coucal,Centropus bengalensis,SPECIES,5231979,Aves,158_lesser_coucal.jpg
159,Yellow-bellied Prinia,Prinia flaviventris,SPECIES,2492765,Aves,159_yellow-bellied_prinia.jpg
163,Plaintive Cuckoo,Cacomantis merulinus,SPECIES,2496253,Aves,163_plaintive_cuckoo.jpg
174,Rufous-tailed Tailorbird,Orthotomus sericeus,SPECIES,2493038,Aves,174_rufous-tailed_tailorbird.jpg
179,Orange-bellied Flowerpecker,Dicaeum trigonostigma,SPECIES,2484724,Aves,179_orange-bellied_flowerpecker.jpg
185,Asian Red-eyed Bulbul,Pycnonotus brunneus,SPECIES,2486149,Aves,185_asian_red-eyed_bulbul.jpg
211,Crimson Sunbird,Aethopyga siparaja,SPECIES,2484677,Aves,211_crimson_sunbird.jpg
213,Black-winged Flycatcher-shrike,Hemipus hirundinaceus,SPECIES,2486749,Aves,213_black-winged_flycatcher-shrike.jpg
215,Common Emerald Dove,Chalcophaps indica,SPECIES,2495840,Aves,215_common_emerald_dove.jpg
223,Yellow-breasted Flowerpecker,Prionochilus maculatus,SPECIES,5229960,Aves,223_yellow-breasted_flowerpecker.jpg
229,White-crowned Shama,Copsychus stricklandii,SPECIES,2492678,Aves,229_white-crowned_shama.jpg
230,Scarlet Minivet,Pericrocotus speciosus,SPECIES,6101031,Aves,230_scarlet_minivet.jpg
236,Black Hornbill,Anthracoceros malayanus,SPECIES,2475989,Aves,236_black_hornbill.jpg
240,Great Slaty Woodpecker,Mulleripicus pulverulentus,SPECIES,2478328,Aves,240_great_slaty_woodpecker.jpg
241,Chestnut-backed Scimitar Babbler,Pomatorhinus montanus,SPECIES,2493335,Aves,241_chestnut-backed_scimitar_babbler.jpg
242,Red-throated Barbet,Psilopogon mystacophanos,SPECIES,7515275,Aves,242_red-throated_barbet.jpg
245,Brown Fulvetta,Alcippe brunneicauda,SPECIES,5231379,Aves,245_brown_fulvetta.jpg
253,Golden-whiskered Barbet,Psilopogon chrysopogon,SPECIES,7497537,Aves,253_golden-whiskered_barbet.jpg
274,Bushy-crested Hornbill,Anorrhinus galeritus,SPECIES,2475930,Aves,274_bushy-crested_hornbill.jpg
293,Chestnut-necklaced Partridge,Arborophila charltonii,SPECIES,2473622,Aves,293_chestnut-necklaced_partridge.jpg
321,Bronzed Drongo,Dicrurus aeneus,SPECIES,2493971,Aves,321_bronzed_drongo.jpg
356,Black-crowned Pitta,Erythropitta ussheri,SPECIES,6101098,Aves,356_black-crowned_pitta.jpg
367,Short-toed Coucal,Centropus rectunguis,SPECIES,5231972,Aves,
370,Whiskered Treeswift,Hemiprocne comata,SPECIES,2477440,Aves,370_whiskered_treeswift.jpg
377,Ruby-cheeked Sunbird,Chalcoparia singalensis,SPECIES,7341060,Aves,377_ruby-cheeked_sunbird.jpg
380,Red-naped Trogon,Harpactes kasumba,SPECIES,5232070,Aves,380_red-naped_trogon.jpg
385,Blue-banded Kingfisher,Alcedo euryzona,SPECIES,2475500,Aves,385_blue-banded_kingfisher.jpg
387,Grey Wagtail,Motacilla cinerea,SPECIES,2490310,Aves,387_grey_wagtail.jpg
393,Yellow-vented Bulbul,Pycnonotus goiavier,SPECIES,2486144,Aves,393_yellow-vented_bulbul.jpg
422,Dusky Munia,Lonchura fuscans,SPECIES,2493619,Aves,422_dusky_munia.jpg
423,Pacific Swallow,Hirundo tahitica,SPECIES,5230787,Aves,423_pacific_swallow.jpg
